time,x_obs
5.000000000000000278e-02,1.287418067934303023e+00
1.000000000000000056e-01,2.129086046622040929e+00
1.499999999999999944e-01,3.724858369453683871e+00
2.000000000000000111e-01,6.517853173011458168e+00
2.500000000000000000e-01,1.101034327418652126e+01
2.999999999999999889e-01,1.669090337657700118e+01
3.500000000000000333e-01,1.960978531601799446e+01
4.000000000000000222e-01,1.529238444978203226e+01
4.500000000000000111e-01,7.381993378873741740e+00
5.000000000000000000e-01,1.063507898851752786e+00
5.500000000000000444e-01,-2.754112683852151466e+00
5.999999999999999778e-01,-4.888682413845057084e+00
6.500000000000000222e-01,-6.160968627028799105e+00
7.000000000000000666e-01,-7.079218880075312192e+00
7.500000000000000000e-01,-7.887510105595880283e+00
8.000000000000000444e-01,-8.644804090459475177e+00
8.499999999999999778e-01,-9.284298601522078087e+00
9.000000000000000222e-01,-9.673700892375812543e+00
9.500000000000000666e-01,-9.698493233620926190e+00
1.000000000000000000e+00,-9.347277324868526804e+00
1.050000000000000044e+00,-8.738995136046366241e+00
1.100000000000000089e+00,-8.067022500532299745e+00
1.150000000000000133e+00,-7.512533445737670235e+00
1.199999999999999956e+00,-7.192580020361013737e+00
1.250000000000000000e+00,-7.155793762114055490e+00
1.300000000000000044e+00,-7.399343828013065227e+00
1.350000000000000089e+00,-7.880960027873534557e+00
1.400000000000000133e+00,-8.516631287351103197e+00
1.449999999999999956e+00,-9.171795681764828956e+00
1.500000000000000000e+00,-9.669038958337086598e+00
1.550000000000000044e+00,-9.838141860188908794e+00
1.600000000000000089e+00,-9.601199683303333288e+00
1.650000000000000133e+00,-9.029246192688987094e+00
1.699999999999999956e+00,-8.309666934915233227e+00
1.750000000000000000e+00,-7.650801767985419666e+00
1.800000000000000044e+00,-7.204638878262344726e+00
1.850000000000000089e+00,-7.046251063480052146e+00
1.900000000000000133e+00,-7.189648294775170534e+00
1.949999999999999956e+00,-7.606256415229424306e+00
2.000000000000000000e+00,-8.228181719074013856e+00
2.049999999999999822e+00,-8.937664648077124241e+00
2.100000000000000089e+00,-9.561735922716231073e+00
2.149999999999999911e+00,-9.903606200786054359e+00
2.200000000000000178e+00,-9.825659970655616249e+00
2.250000000000000000e+00,-9.337374413038519450e+00
2.300000000000000266e+00,-8.602570102817121978e+00
2.350000000000000089e+00,-7.850461428523466623e+00
2.399999999999999911e+00,-7.272696999591804712e+00
2.450000000000000178e+00,-6.978133331948721541e+00
2.500000000000000000e+00,-7.001948241688774388e+00
2.550000000000000266e+00,-7.329958377559637306e+00
2.600000000000000089e+00,-7.910022365046604165e+00
2.649999999999999911e+00,-8.644150823893269830e+00
2.700000000000000178e+00,-9.374122287920620522e+00
2.750000000000000000e+00,-9.891717060177278142e+00
2.800000000000000266e+00,-1.000622696411171475e+01
2.850000000000000089e+00,-9.651958338447371943e+00
2.899999999999999911e+00,-8.944619231924493263e+00
2.950000000000000178e+00,-8.119470052560551210e+00
3.000000000000000000e+00,-7.409047019781464627e+00
3.050000000000000266e+00,-6.964455561910979142e+00
3.100000000000000089e+00,-6.848675096511954941e+00
3.149999999999999911e+00,-7.063879644294675408e+00
3.200000000000000178e+00,-7.572746245474374582e+00
3.250000000000000000e+00,-8.297592626410702721e+00
3.300000000000000266e+00,-9.102606110243698367e+00
3.350000000000000089e+00,-9.784850676255215873e+00
3.399999999999999911e+00,-1.011571807579492699e+01
3.450000000000000178e+00,-9.949104503135327349e+00
3.500000000000000000e+00,-9.325713523548307293e+00
3.550000000000000266e+00,-8.462053221103671419e+00
3.600000000000000089e+00,-7.626236804896694643e+00
3.649999999999999911e+00,-7.020220826111422951e+00
3.700000000000000178e+00,-6.744473081209219067e+00
3.750000000000000000e+00,-6.821930021407933253e+00
3.800000000000000266e+00,-7.229554329131494761e+00
3.850000000000000089e+00,-7.908463713751215707e+00
3.899999999999999911e+00,-8.749167703219404402e+00
3.950000000000000178e+00,-9.569298460095751580e+00
4.000000000000000000e+00,-1.012452004945118311e+01
4.049999999999999822e+00,-1.019583943802889081e+01
4.099999999999999645e+00,-9.725828384196262277e+00
4.150000000000000355e+00,-8.877095907928962859e+00
4.200000000000000178e+00,-7.936633227699016579e+00
4.250000000000000000e+00,-7.163036722225561093e+00
4.299999999999999822e+00,-6.707126616317296453e+00
4.350000000000000533e+00,-6.620783902740477345e+00
4.400000000000000355e+00,-6.896447950456806808e+00
4.450000000000000178e+00,-7.491384475313036972e+00
4.500000000000000000e+00,-8.322254183451452292e+00
4.549999999999999822e+00,-9.238142804457945445e+00
4.600000000000000533e+00,-1.000411004398700676e+01
4.650000000000000355e+00,-1.035049891427718549e+01
4.700000000000000178e+00,-1.011127120576998806e+01
4.750000000000000000e+00,-9.353596972943799770e+00
4.799999999999999822e+00,-8.350012938562768383e+00
4.850000000000000533e+00,-7.413010150284888411e+00
4.900000000000000355e+00,-6.758567302092436613e+00
4.950000000000000178e+00,-6.480919588571480539e+00
5.000000000000000000e+00,-6.592730183630737706e+00
5.049999999999999822e+00,-7.065087699432631929e+00
5.100000000000000533e+00,-7.837143608418106311e+00
5.150000000000000355e+00,-8.793866739895978668e+00
5.200000000000000178e+00,-9.732118663505291423e+00
5.250000000000000000e+00,-1.036584620774177345e+01
5.299999999999999822e+00,-1.043160758483812955e+01
5.350000000000000533e+00,-9.864016273702677751e+00
5.400000000000000355e+00,-8.868677412238008984e+00
5.450000000000000178e+00,-7.791459535141558312e+00
5.500000000000000000e+00,-6.925911466112868453e+00
5.549999999999999822e+00,-6.428239040973172891e+00
5.600000000000000533e+00,-6.342115179804904912e+00
5.650000000000000355e+00,-6.652635551391838931e+00
5.700000000000000178e+00,-7.315844525925527364e+00
5.750000000000000000e+00,-8.250096083122526736e+00
5.799999999999999822e+00,-9.298197787103559264e+00
5.850000000000000533e+00,-1.019600941544425687e+01
