time,x,y,z
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-02,1.107714581610020899e+00,1.795442495561501595e+00,9.649742549322551932e-01
5.999999999999999778e-02,1.408906551546458941e+00,2.733100250112531437e+00,9.719293100214259074e-01
8.999999999999999667e-02,1.910614902438880325e+00,3.960205661229299068e+00,1.055664021223174709e+00
1.199999999999999956e-01,2.657003350596408353e+00,5.634525353087092014e+00,1.287355397831137616e+00
1.499999999999999944e-01,3.724858369453683871e+00,7.938350351823400430e+00,1.807287369030874835e+00
1.799999999999999933e-01,5.220888320305754782e+00,1.106698290956412123e+01,2.884809733607678339e+00
2.099999999999999922e-01,7.269619242591863539e+00,1.515443127451048255e+01,5.012460433466592313e+00
2.399999999999999911e-01,9.967799465965537564e+00,2.005075752668092193e+01,9.001188569318671284e+00
2.700000000000000178e-01,1.325942957982890746e+01,2.483952969177325087e+01,1.588758538442066737e+01
2.999999999999999889e-01,1.669090337657700118e+01,2.725136003948510321e+01,2.614776711850827695e+01
3.300000000000000155e-01,1.917962538352652047e+01,2.418710843474875816e+01,3.789620847923517744e+01
3.599999999999999867e-01,1.934128785973983966e+01,1.497854405777643727e+01,4.625789891241905138e+01
3.900000000000000133e-01,1.666834222930635079e+01,3.928393094605412195e+00,4.764183515414158165e+01
4.199999999999999845e-01,1.217059603382318400e+01,-3.974188640930646610e+00,4.383541241907639119e+01
4.500000000000000111e-01,7.381993378873741740e+00,-7.727092738562978624e+00,3.875517809207612885e+01
4.799999999999999822e-01,3.270026115729543825e+00,-8.848662082368980109e+00,3.451356674363463384e+01
5.100000000000000089e-01,1.188131897218355215e-01,-8.836218680273793424e+00,3.145672609573569289e+01
5.400000000000000355e-01,-2.156137626299935661e+00,-8.510344430297982043e+00,2.931662895274969571e+01
5.700000000000000622e-01,-3.757371148820694895e+00,-8.219681363059395451e+00,2.779102774581581414e+01
5.999999999999999778e-01,-4.888682413845057084e+00,-8.083230980037832580e+00,2.667919484018328902e+01
6.300000000000000044e-01,-5.716134831012362305e+00,-8.122212284063014209e+00,2.587155027380078209e+01
6.600000000000000311e-01,-6.361885808879001125e+00,-8.318192636777753890e+00,2.531633623839008962e+01
6.900000000000000577e-01,-6.909073625859800671e+00,-8.636200191784261904e+00,2.499342310966118319e+01
7.199999999999999734e-01,-7.408993244858660177e+00,-9.032755960384527327e+00,2.489708146342778861e+01
7.500000000000000000e-01,-7.887510105595880283e+00,-9.457965038938089819e+00,2.502416037742427690e+01
7.800000000000000266e-01,-8.350084114189542106e+00,-9.856330405438036735e+00,2.536469656652434423e+01
8.100000000000000533e-01,-8.785867053253253900e+00,-1.016922569697036671e+01,2.589376887101925817e+01
8.399999999999999689e-01,-9.171829221795768206e+00,-1.034088744583304553e+01,2.656532606384560324e+01
8.699999999999999956e-01,-9.477911263594592128e+00,-1.032821540610671462e+01,2.731026996843528565e+01
9.000000000000000222e-01,-9.673700892375812543e+00,-1.011225570496851134e+01,2.804144135032959539e+01
9.300000000000000488e-01,-9.736100861749591218e+00,-9.706813527856629875e+00,2.866640509134655801e+01
9.599999999999999645e-01,-9.656265612219668171e+00,-9.159119439794466189e+00,2.910520943864312216e+01
9.899999999999999911e-01,-9.443518884174661565e+00,-8.540349035267174926e+00,2.930676905885807670e+01
1.020000000000000018e+00,-9.124676932434276466e+00,-7.928980402075155531e+00,2.925725826935007490e+01
1.050000000000000044e+00,-8.738995136046366241e+00,-7.393812557894224646e+00,2.897781380649520244e+01
1.080000000000000071e+00,-8.330726173041801630e+00,-6.983005434298347858e+00,2.851420257715243167e+01
1.110000000000000098e+00,-7.941913137777246945e+00,-6.721472876109654493e+00,2.792404976260002414e+01
1.140000000000000124e+00,-7.607348230045109183e+00,-6.614741315227502305e+00,2.726643472246286848e+01
1.169999999999999929e+00,-7.352309149815967615e+00,-6.655521680265631623e+00,2.659586989676146374e+01
1.199999999999999956e+00,-7.192580020361013737e+00,-6.829773273874303996e+00,2.596022302113112090e+01
1.229999999999999982e+00,-7.135760638846895709e+00,-7.120577347434718263e+00,2.540104801472894636e+01
1.260000000000000009e+00,-7.182889319063266775e+00,-7.509486968703134480e+00,2.495477508181749826e+01
1.290000000000000036e+00,-7.329689717381230984e+00,-7.975773756432277040e+00,2.465360628537421661e+01
1.320000000000000062e+00,-7.567089504398865962e+00,-8.494297661534362831e+00,2.452532761002163753e+01
1.350000000000000089e+00,-7.880960027873534557e+00,-9.032884152004596601e+00,2.459148141883957095e+01
1.380000000000000115e+00,-8.251296272714036206e+00,-9.550321750422325451e+00,2.486357544020215116e+01
1.409999999999999920e+00,-8.651331175621194802e+00,-9.996415402327006205e+00,2.533747654876740540e+01
1.439999999999999947e+00,-9.047354823471401630e+00,-1.031570044202132408e+01,2.598706363796590324e+01
1.469999999999999973e+00,-9.400180846701326587e+00,-1.045591107605369707e+01,2.675954209321134769e+01
1.500000000000000000e+00,-9.669038958337086598e+00,-1.038055744650164947e+01,2.757591358247020352e+01
